Citation/Document Number,Type,Relation
"EP3586835","Patent","Citation Family Member"
"HK40001422","Patent","Citation Family Member"
"HK40012089","Patent","Citation Family Member"
"BR112016005262","Patent","Citation Family Member"
"JP2019070043","Patent","Citation Family Member"
"JP2019089855","Patent","Citation Family Member"
"JP2019089856","Patent","Citation Family Member"
"CU20160030","Patent","Citation Family Member"
"AU2014318025","Patent","Citation Family Member"
"CA2919397","Patent","Citation Family Member"
"AR097600","Patent","Citation Family Member"
"US2016251307","Patent","Citation Family Member"
"US2017217892","Patent","Citation Family Member"
"US2019119214","Patent","Citation Family Member"
"US2020190031","Patent","Citation Family Member"
"CU24385","Patent","Citation Family Member"
"TWI657071","Patent","Citation Family Member"
"MX378532","Patent","Citation Family Member"
"EA032124","Patent","Citation Family Member"
"RS58960","Patent","Citation Family Member"
"KR102153772","Patent","Citation Family Member"
"RS60953","Patent","Citation Family Member"
"JP6486940","Patent","Citation Family Member"
"JP6746733","Patent","Citation Family Member"
"JP6918039","Patent","Citation Family Member"
"US10597366","Patent","Citation Family Member"
"DE602014046975","Patent","Citation Family Member"
"DE602014061405","Patent","Citation Family Member"
"DE602014068189","Patent","Citation Family Member"
"DE602014088967","Patent","Citation Family Member"
"USRE49948","Patent","Citation Family Member"
"HU2500021","Patent","Citation Family Member"
"NO2025022","Patent","Citation Family Member"
"FIC20253001","Patent","Citation Family Member"
"LT2025519","Patent","Citation Family Member"
"CY2025017","Patent","Citation Family Member"
"NL301327","Patent","Citation Family Member"
"LT3043784","Patent","Citation Family Member"
"PT3043784","Patent","Citation Family Member"
"LT3417851","Patent","Citation Family Member"
"PT3417851","Patent","Citation Family Member"
"CY1122144","Patent","Citation Family Member"
"SMT201900479","Patent","Citation Family Member"
"HR20191298","Patent","Citation Family Member"
"SI3043784","Patent","Citation Family Member"
"SI3417851","Patent","Citation Family Member"
"MK10737","Patent","Citation Family Member"
"HR20201701","Patent","Citation Family Member"
"CY1123433","Patent","Citation Family Member"
"JP2016534134","Patent","Citation Family Member"
"HU045462","Patent","Citation Family Member"
"HU052080","Patent","Citation Family Member"
"DK3043784","Patent","Citation Family Member"
"PL3043784","Patent","Citation Family Member"
"ES2739433","Patent","Citation Family Member"
"ES2784454","Patent","Citation Family Member"
"PL3417851","Patent","Citation Family Member"
"ES2823477","Patent","Citation Family Member"
"TR201911576","Patent","Citation Family Member"
"TR202005482","Patent","Citation Family Member"
"TR202015200","Patent","Citation Family Member"
"EP3268362","Patent","Citation Family Member"
"US2018148413","Patent","Citation Family Member"
"DE602016065145","Patent","Citation Family Member"
"BR8106662","Patent","Citation Family Member"
"DK457781","Patent","Citation Family Member"
"IN155350","Patent","Citation Family Member"
"MY10387","Patent","Citation Family Member"
"NZ198608","Patent","Citation Family Member"
"PH17880","Patent","Citation Family Member"
"PT73826","Patent","Citation Family Member"
"TR21346","Patent","Citation Family Member"
"YU246881","Patent","Citation Family Member"
"ZA8107110","Patent","Citation Family Member"
"ZW24981","Patent","Citation Family Member"
"IN160602","Patent","Citation Family Member"
"MY8700103","Patent","Citation Family Member"
"KR830007533","Patent","Citation Family Member"
"KR19830007533","Patent","Citation Family Member"
"OA06932","Patent","Citation Family Member"
"IL64069","Patent","Citation Family Member"
"ES506272","Patent","Citation Family Member"
"AR231972","Patent","Citation Family Member"
"CA1190553","Patent","Citation Family Member"
"SU1425190","Patent","Citation Family Member"
"AU198176250","Patent","Citation Family Member"
"ES8302640","Patent","Citation Family Member"
"EP0050321","Patent","Citation Family Member"
"JP57158753","Patent","Citation Family Member"
"DD202377","Patent","Citation Family Member"
"HU189541","Patent","Citation Family Member"
"YU42732","Patent","Citation Family Member"
"GR75828","Patent","Citation Family Member"
"RO83968","Patent","Citation Family Member"
"KR870000369","Patent","Citation Family Member"
"AU555928","Patent","Citation Family Member"
"JP61050940","Patent","Citation Family Member"
"JP1381222","Patent","Citation Family Member"
"DE3171931","Patent","Citation Family Member"
"AT15036","Patent","Citation Family Member"
"RO88485","Patent","Citation Family Member"
"NL7908010","Patent","Citation Family Member"
"BE880215","Patent","Citation Family Member"
"IL58547","Patent","Citation Family Member"
"IL65946","Patent","Citation Family Member"
"DE2948149","Patent","Citation Family Member"
"FR2442820","Patent","Citation Family Member"
"GB2036745","Patent","Citation Family Member"
"JP55076835","Patent","Citation Family Member"
"JP63008926","Patent","Citation Family Member"
"JP1462459","Patent","Citation Family Member"
"US4349568","Patent","Citation Family Member"
"DK173684","Patent","Citation Family Member"
"EP0124282","Patent","Citation Family Member"
"JP59184155","Patent","Citation Family Member"
"DE3466532","Patent","Citation Family Member"
"AT30019","Patent","Citation Family Member"
"ECSP066682","Patent","Citation Family Member"
"NO20063475","Patent","Citation Family Member"
"KR20060105872","Patent","Citation Family Member"
"CN1926127","Patent","Citation Family Member"
"BRPI0418212","Patent","Citation Family Member"
"RU2006127420","Patent","Citation Family Member"
"ZA200604857","Patent","Citation Family Member"
"NZ548128","Patent","Citation Family Member"
