Citation/Document Number,Type,Relation
"JP2016531723","Patent","Citation Family Member"
"MX2016002343","Patent","Citation Family Member"
"PH2016500323","Patent","Citation Family Member"
"HK1218848","Patent","Citation Family Member"
"PE01622016","Patent","Citation Family Member"
"CO16048108","Patent","Citation Family Member"
"ID201708696","Patent","Citation Family Member"
"TH169482","Patent","Citation Family Member"
"ZA201600821","Patent","Citation Family Member"
"US2018110370","Patent","Citation Family Member"
"GE20186850","Patent","Citation Family Member"
"AU2014332219","Patent","Citation Family Member"
"EA031241","Patent","Citation Family Member"
"UA118358","Patent","Citation Family Member"
"BR112016007473","Patent","Citation Family Member"
"JP6537119","Patent","Citation Family Member"
"NZ716367","Patent","Citation Family Member"
"KR20190111122","Patent","Citation Family Member"
"PE20160162","Patent","Citation Family Member"
"PH2018501879","Patent","Citation Family Member"
"KR102112463","Patent","Citation Family Member"
"KR102127034","Patent","Citation Family Member"
"US2020237159","Patent","Citation Family Member"
"CL59733","Patent","Citation Family Member"
"MX371458","Patent","Citation Family Member"
"IN202038034661","Patent","Citation Family Member"
"CA2920786","Patent","Citation Family Member"
"EP3021720B1","Patent","Citation Family Member"
"ID74513","Patent","Citation Family Member"
"PE20210784","Patent","Citation Family Member"
"DE602014075827","Patent","Citation Family Member"
"ES2871561","Patent","Citation Family Member"
"MY175106","Patent","Citation Family Member"
"SA516370851","Patent","Citation Family Member"
"SA518400192","Patent","Citation Family Member"
"IN428956","Patent","Citation Family Member"
"IN459500","Patent","Citation Family Member"
"TH98788","Patent","Citation Family Member"
"MY202012","Patent","Citation Family Member"
"VN10042471","Patent","Citation Family Member"
"IL243695","Patent","Citation Family Member"
"ZA201707488","Patent","Citation Family Member"
"GEAP201814131","Patent","Citation Family Member"
"US2016029844","Patent","Citation Family Member"
"WO16018750A1","Patent","Citation Family Member"
"USD752971","Patent","Citation Family Member"
"US9370279","Patent","Citation Family Member"
"US2016270598","Patent","Citation Family Member"
"US2016296073","Patent","Citation Family Member"
"WO16176616A1","Patent","Citation Family Member"
"US9629503","Patent","Citation Family Member"
"EP3174442A1","Patent","Citation Family Member"
"US2017172348","Patent","Citation Family Member"
"US2017202397","Patent","Citation Family Member"
"US2017202399","Patent","Citation Family Member"
"US2017202398","Patent","Citation Family Member"
"JP2017528283","Patent","Citation Family Member"
"EP3174442A4","Patent","Citation Family Member"
"JP2018515202","Patent","Citation Family Member"
"US10022019","Patent","Citation Family Member"
"WO18165258A1","Patent","Citation Family Member"
"USD833272","Patent","Citation Family Member"
"US10413130","Patent","Citation Family Member"
"EP3592187A1","Patent","Citation Family Member"
"JP2020509851","Patent","Citation Family Member"
"US10624499","Patent","Citation Family Member"
"JP6649380","Patent","Citation Family Member"
"EM0027725330002","Patent","Citation Family Member"
"EM0027725330003","Patent","Citation Family Member"
"EM0027725330004","Patent","Citation Family Member"
"EM0027725330005","Patent","Citation Family Member"
"EM0027725330001","Patent","Citation Family Member"
"CA2984449","Patent","Citation Family Member"
"CA3059206","Patent","Citation Family Member"
"CA2956573","Patent","Citation Family Member"
"US11992160","Patent","Citation Family Member"
"US2024389799","Patent","Citation Family Member"
"US12527437","Patent","Citation Family Member"
"US2017086621","Patent","Citation Family Member"
"WO17053947A1","Patent","Citation Family Member"
"US2019343334","Patent","Citation Family Member"
"US11357359","Patent","Citation Family Member"
"US2019176110","Patent","Citation Family Member"
"GB201919274","Patent","Citation Family Member"
"CN111084568","Patent","Citation Family Member"
"AU2019280029","Patent","Citation Family Member"
"CA3065592","Patent","Citation Family Member"
"WO20142146A1","Patent","Citation Family Member"
"GB2580548","Patent","Citation Family Member"
"AU2020213350","Patent","Citation Family Member"
"HK40019422","Patent","Citation Family Member"
"US11006784","Patent","Citation Family Member"
"SG11202107073Y","Patent","Citation Family Member"
"CN113395924","Patent","Citation Family Member"
"BR112021012827","Patent","Citation Family Member"
"EP3905933A1","Patent","Citation Family Member"
"KR20210141925","Patent","Citation Family Member"
"HK40051938","Patent","Citation Family Member"
"JP2022518130","Patent","Citation Family Member"
"AU2022201138","Patent","Citation Family Member"
"KR102382261","Patent","Citation Family Member"
"IN202127029436","Patent","Citation Family Member"
"GB202202325","Patent","Citation Family Member"
"MX390489","Patent","Citation Family Member"
"EP3905933A4","Patent","Citation Family Member"
"ZA202105086","Patent","Citation Family Member"
"GB2608482","Patent","Citation Family Member"
"JP7461359","Patent","Citation Family Member"
"IN500288","Patent","Citation Family Member"
"MX2021008045","Patent","Citation Family Member"
"EP3905933B1","Patent","Citation Family Member"
