Citation/Document Number,Type,Relation
"AU2021204687","Patent","Citation Family Member"
"MX378690","Patent","Citation Family Member"
"DE602015042142","Patent","Citation Family Member"
"JP2017535528","Patent","Citation Family Member"
"ES2774448","Patent","Citation Family Member"
"MA40035","Patent","Citation Family Member"
"TW201620940","Patent","Citation Family Member"
"KR20170069257","Patent","Citation Family Member"
"CN107001478","Patent","Citation Family Member"
"CR20170143","Patent","Citation Family Member"
"PH2017500692","Patent","Citation Family Member"
"ID201805935","Patent","Citation Family Member"
"GT201700081","Patent","Citation Family Member"
"ECSP17029218","Patent","Citation Family Member"
"CN114920840","Patent","Citation Family Member"
"IL251563","Patent","Citation Family Member"
"PE20171067","Patent","Citation Family Member"
"WO16061142","Patent","Citation Family Member"
"WO2016061142","Patent","Citation Family Member"
"UY36351","Patent","Citation Family Member"
"SG11201702401R","Patent","Citation Family Member"
"EP3206711","Patent","Citation Family Member"
"PE10672017","Patent","Citation Family Member"
"CL2017000888","Patent","Citation Family Member"
"MX2017004810","Patent","Citation Family Member"
"EA201790834","Patent","Citation Family Member"
"HK1234676","Patent","Citation Family Member"
"TN2017000129","Patent","Citation Family Member"
"HK40102321","Patent","Citation Family Member"
"CO20170003490","Patent","Citation Family Member"
"BR112017007379","Patent","Citation Family Member"
"JP2021121593","Patent","Citation Family Member"
"JP2023126761","Patent","Citation Family Member"
"EP4245376","Patent","Citation Family Member"
"CU20170052","Patent","Citation Family Member"
"US2016108123","Patent","Citation Family Member"
"AU2015333687","Patent","Citation Family Member"
"AR104081","Patent","Citation Family Member"
"CA2964367","Patent","Citation Family Member"
"US2021284737","Patent","Citation Family Member"
"US2024343808","Patent","Citation Family Member"
"TWI716362","Patent","Citation Family Member"
"MX389663","Patent","Citation Family Member"
"KR102513870","Patent","Citation Family Member"
"JP6877339","Patent","Citation Family Member"
"JP7695819","Patent","Citation Family Member"
"US9988452","Patent","Citation Family Member"
"US10851165","Patent","Citation Family Member"
"DE602015083749","Patent","Citation Family Member"
"JP2017536099","Patent","Citation Family Member"
