Citation/Document Number,Type,Relation
"CA2855098","Patent","Citation Family Member"
"CA2691357","Patent","Citation Family Member"
"AU2008266951","Patent","Citation Family Member"
"US2010266617","Patent","Citation Family Member"
"US2013108651","Patent","Citation Family Member"
"US2013109843","Patent","Citation Family Member"
"AU2014201367","Patent","Citation Family Member"
"US2015232555","Patent","Citation Family Member"
"US2018111996","Patent","Citation Family Member"
"US2021403560","Patent","Citation Family Member"
"ME02093","Patent","Citation Family Member"
"MX304545","Patent","Citation Family Member"
"RS53072","Patent","Citation Family Member"
"IN292137","Patent","Citation Family Member"
"KR101562580","Patent","Citation Family Member"
"KR101586617","Patent","Citation Family Member"
"BR122017025062","Patent","Citation Family Member"
"JP5191537","Patent","Citation Family Member"
"JP5640052","Patent","Citation Family Member"
"US8354509","Patent","Citation Family Member"
"US8900587","Patent","Citation Family Member"
"US8952136","Patent","Citation Family Member"
"US9834605","Patent","Citation Family Member"
"US11117961","Patent","Citation Family Member"
"DE602008027905","Patent","Citation Family Member"
"DE602008048425","Patent","Citation Family Member"
"NO2015028","Patent","Citation Family Member"
"NL300788","Patent","Citation Family Member"
"CY2015058","Patent","Citation Family Member"
"HU1500071","Patent","Citation Family Member"
"LT2016001","Patent","Citation Family Member"
"NO2022040","Patent","Citation Family Member"
"LU92936","Patent","Citation Family Member"
"LT2170959","Patent","Citation Family Member"
"PT2170959","Patent","Citation Family Member"
"HR20131167","Patent","Citation Family Member"
"SI2170959","Patent","Citation Family Member"
"CY1114849","Patent","Citation Family Member"
"JP2010530753","Patent","Citation Family Member"
"DK2170959","Patent","Citation Family Member"
"PL2170959","Patent","Citation Family Member"
"ES2437327","Patent","Citation Family Member"
"ES2616355","Patent","Citation Family Member"
"TR201703802","Patent","Citation Family Member"
"CN103429264","Patent","Citation Family Member"
"KR20140026434","Patent","Citation Family Member"
"RU2013148537","Patent","Citation Family Member"
"RU2015123476","Patent","Citation Family Member"
"CN107854439","Patent","Citation Family Member"
"KR20190116563","Patent","Citation Family Member"
"KR20210008149","Patent","Citation Family Member"
"KR20210101336","Patent","Citation Family Member"
"MX2013011246","Patent","Citation Family Member"
"EP2691112","Patent","Citation Family Member"
"EP3398612","Patent","Citation Family Member"
"HK1256245","Patent","Citation Family Member"
"EP4729071","Patent","Citation Family Member"
"AU2012236479","Patent","Citation Family Member"
"CA2830806","Patent","Citation Family Member"
"US2014234296","Patent","Citation Family Member"
"MX341076","Patent","Citation Family Member"
"RS57492","Patent","Citation Family Member"
"KR102031020","Patent","Citation Family Member"
"KR102289394","Patent","Citation Family Member"
"KR102614259","Patent","Citation Family Member"
"JP6014116","Patent","Citation Family Member"
"RU2563346","Patent","Citation Family Member"
"RU2633509","Patent","Citation Family Member"
"DE602012046639","Patent","Citation Family Member"
"LT2691112","Patent","Citation Family Member"
"PT2691112","Patent","Citation Family Member"
"HR20181139","Patent","Citation Family Member"
"SI2691112","Patent","Citation Family Member"
"CY1120359","Patent","Citation Family Member"
"JP2014515017","Patent","Citation Family Member"
"HU039209","Patent","Citation Family Member"
"ES2676205","Patent","Citation Family Member"
"DK2691112","Patent","Citation Family Member"
"PL2691112","Patent","Citation Family Member"
"TR201810298","Patent","Citation Family Member"
"TW201429990","Patent","Citation Family Member"
"KR20150097670","Patent","Citation Family Member"
"CN105579471","Patent","Citation Family Member"
"RU2015129813","Patent","Citation Family Member"
"GC11133","Patent","Citation Family Member"
"IN202048041338","Patent","Citation Family Member"
"CN113321731","Patent","Citation Family Member"
"EP2935329","Patent","Citation Family Member"
"MX2015008045","Patent","Citation Family Member"
"HK1210785","Patent","Citation Family Member"
"EP3783030","Patent","Citation Family Member"
"HK40039049","Patent","Citation Family Member"
"BR112015014833","Patent","Citation Family Member"
"JP2019193665","Patent","Citation Family Member"
"JP2021097705","Patent","Citation Family Member"
"JP2023071948","Patent","Citation Family Member"
"AU2013361617","Patent","Citation Family Member"
"CA2895191","Patent","Citation Family Member"
"US2015355184","Patent","Citation Family Member"
"AR093984","Patent","Citation Family Member"
"AR134583","Patent","Citation Family Member"
"MX361502","Patent","Citation Family Member"
"TWI655209","Patent","Citation Family Member"
"IN377708","Patent","Citation Family Member"
"IN565884","Patent","Citation Family Member"
"KR101780877","Patent","Citation Family Member"
"RS61083","Patent","Citation Family Member"
"JP6586014","Patent","Citation Family Member"
"JP6854322","Patent","Citation Family Member"
"US9709568","Patent","Citation Family Member"
"RU2689953","Patent","Citation Family Member"
"DE602013072625","Patent","Citation Family Member"
"LT2935329","Patent","Citation Family Member"
"PT2935329","Patent","Citation Family Member"
"HR20201856","Patent","Citation Family Member"
